Время,SuperTrend,Цвет
2020-05-13 19:30:00+05:00,4883.7608611789165,-1
2020-05-13 20:00:00+05:00,4879.506885378364,-1
2020-05-13 20:30:00+05:00,4871.931160363298,-1
2020-05-14 12:00:00+05:00,4862.83814182465,-1
2020-05-14 12:30:00+05:00,4862.83814182465,-1
2020-05-14 13:00:00+05:00,4862.83814182465,-1
2020-05-14 13:30:00+05:00,4862.83814182465,-1
2020-05-14 14:00:00+05:00,4862.83814182465,-1
2020-05-14 14:30:00+05:00,4862.83814182465,-1
2020-05-14 15:00:00+05:00,4862.83814182465,-1
2020-05-14 15:30:00+05:00,4862.83814182465,-1
2020-05-14 16:00:00+05:00,4862.83814182465,-1
2020-05-14 16:30:00+05:00,4862.83814182465,-1
2020-05-14 17:00:00+05:00,4862.83814182465,-1
2020-05-14 17:30:00+05:00,4855.32699333685,-1
2020-05-14 18:00:00+05:00,4855.32699333685,-1
2020-05-14 18:30:00+05:00,4855.32699333685,-1
2020-05-14 19:00:00+05:00,4855.32699333685,-1
2020-05-14 19:30:00+05:00,4855.32699333685,-1
2020-05-14 20:00:00+05:00,4855.32699333685,-1
2020-05-14 20:30:00+05:00,4810.455050065963,1
2020-05-15 12:00:00+05:00,4883.534525100023,1
2020-05-15 12:30:00+05:00,4883.534525100023,1
2020-05-15 13:00:00+05:00,4883.534525100023,1
2020-05-15 13:30:00+05:00,4895.632921652836,1
2020-05-15 14:00:00+05:00,4906.669633708839,1
2020-05-15 14:30:00+05:00,4906.669633708839,1
2020-05-15 15:00:00+05:00,4906.669633708839,1
2020-05-15 15:30:00+05:00,4906.669633708839,1
2020-05-15 16:00:00+05:00,4906.669633708839,1
2020-05-15 16:30:00+05:00,4951.029741755974,-1
2020-05-15 17:00:00+05:00,4951.029741755974,-1
2020-05-15 17:30:00+05:00,4951.029741755974,-1
2020-05-15 18:00:00+05:00,4951.029741755974,-1
2020-05-15 18:30:00+05:00,4951.029741755974,-1
2020-05-15 19:00:00+05:00,4951.029741755974,-1
2020-05-15 19:30:00+05:00,4951.029741755974,-1
2020-05-15 20:00:00+05:00,4942.102359934841,-1
2020-05-15 20:30:00+05:00,4940.042124273414,-1
2020-05-18 12:00:00+05:00,4901.087084378935,1
2020-05-18 12:30:00+05:00,4928.853374943983,1
2020-05-18 13:00:00+05:00,4976.918036564692,1
2020-05-18 13:30:00+05:00,4981.476233617195,1
2020-05-18 14:00:00+05:00,4981.476233617195,1
2020-05-18 14:30:00+05:00,5004.68574945705,1
2020-05-18 15:00:00+05:00,5016.817175209564,1
2020-05-18 15:30:00+05:00,5028.4854580944575,1
2020-05-18 16:00:00+05:00,5043.211912829355,1
2020-05-18 16:30:00+05:00,5043.211912829355,1
2020-05-18 17:00:00+05:00,5056.824149459663,1
2020-05-18 17:30:00+05:00,5084.466734602772,1
2020-05-18 18:00:00+05:00,5090.870061133812,1
2020-05-18 18:30:00+05:00,5090.870061133812,1
2020-05-18 19:00:00+05:00,5090.870061133812,1
2020-05-18 19:30:00+05:00,5104.788024561178,1
2020-05-18 20:00:00+05:00,5116.559222003186,1
2020-05-18 20:30:00+05:00,5126.903299847633,1
2020-05-19 12:00:00+05:00,5165.0629693693145,1
2020-05-19 12:30:00+05:00,5186.481672525546,1
2020-05-19 13:00:00+05:00,5186.481672525546,1
2020-05-19 13:30:00+05:00,5191.8076547831315,1
2020-05-19 14:00:00+05:00,5200.151889339087,1
2020-05-19 14:30:00+05:00,5200.151889339087,1
2020-05-19 15:00:00+05:00,5200.151889339087,1
2020-05-19 15:30:00+05:00,5200.151889339087,1
2020-05-19 16:00:00+05:00,5200.151889339087,1
2020-05-19 16:30:00+05:00,5200.151889339087,1
2020-05-19 17:00:00+05:00,5200.151889339087,1
2020-05-19 17:30:00+05:00,5200.479690997341,1
2020-05-19 18:00:00+05:00,5220.10672190943,1
2020-05-19 18:30:00+05:00,5220.10672190943,1
2020-05-19 19:00:00+05:00,5220.10672190943,1
2020-05-19 19:30:00+05:00,5220.10672190943,1
2020-05-19 20:00:00+05:00,5225.7514952659585,1
2020-05-19 20:30:00+05:00,5225.7514952659585,1
2020-05-20 12:00:00+05:00,5225.7514952659585,1
2020-05-20 12:30:00+05:00,5225.7514952659585,1
2020-05-20 13:00:00+05:00,5259.488780974286,1
2020-05-20 13:30:00+05:00,5323.564902847224,1
2020-05-20 14:00:00+05:00,5329.458412559651,1
2020-05-20 14:30:00+05:00,5363.737571308039,1
2020-05-20 15:00:00+05:00,5363.737571308039,1
2020-05-20 15:30:00+05:00,5363.737571308039,1
2020-05-20 16:00:00+05:00,5363.737571308039,1
2020-05-20 16:30:00+05:00,5375.848545551472,1
2020-05-20 17:00:00+05:00,5384.813690992491,1
2020-05-20 17:30:00+05:00,5388.032321898229,1
2020-05-20 18:00:00+05:00,5398.529089715482,1
2020-05-20 18:30:00+05:00,5398.529089715482,1
2020-05-20 19:00:00+05:00,5401.13606267832,1
2020-05-20 19:30:00+05:00,5401.13606267832,1
2020-05-20 20:00:00+05:00,5401.13606267832,1
2020-05-20 20:30:00+05:00,5401.13606267832,1
2020-05-21 12:00:00+05:00,5428.169270713066,1
2020-05-21 12:30:00+05:00,5441.727343635767,1
2020-05-21 13:00:00+05:00,5441.727343635767,1
2020-05-21 13:30:00+05:00,5441.727343635767,1
2020-05-21 14:00:00+05:00,5441.727343635767,1
2020-05-21 14:30:00+05:00,5441.727343635767,1
2020-05-21 15:00:00+05:00,5497.260118358223,-1
2020-05-21 15:30:00+05:00,5458.234106521873,-1
2020-05-21 16:00:00+05:00,5447.660695869189,-1
2020-05-21 16:30:00+05:00,5447.660695869189,-1
2020-05-21 17:00:00+05:00,5432.017663654927,-1
2020-05-21 17:30:00+05:00,5432.017663654927,-1
2020-05-21 18:00:00+05:00,5432.017663654927,-1
2020-05-21 18:30:00+05:00,5432.017663654927,-1
2020-05-21 19:00:00+05:00,5432.017663654927,-1
2020-05-21 19:30:00+05:00,5400.5131802118185,-1
2020-05-21 20:00:00+05:00,5337.461862191423,-1
2020-05-21 20:30:00+05:00,5337.461862191423,-1
2020-05-22 12:00:00+05:00,5297.981608377073,-1
2020-05-22 12:30:00+05:00,5297.981608377073,-1
2020-05-22 13:00:00+05:00,5297.981608377073,-1
2020-05-22 13:30:00+05:00,5297.981608377073,-1
2020-05-22 14:00:00+05:00,5223.659091744453,1
2020-05-22 14:30:00+05:00,5237.99318257023,1
2020-05-22 15:00:00+05:00,5237.99318257023,1
2020-05-22 15:30:00+05:00,5237.99318257023,1
2020-05-22 16:00:00+05:00,5237.99318257023,1
2020-05-22 16:30:00+05:00,5237.99318257023,1
2020-05-22 17:00:00+05:00,5257.718104376273,1
2020-05-22 17:30:00+05:00,5257.718104376273,1
2020-05-22 18:00:00+05:00,5257.718104376273,1
2020-05-22 18:30:00+05:00,5257.718104376273,1
2020-05-22 19:00:00+05:00,5257.718104376273,1
2020-05-22 19:30:00+05:00,5259.616725953608,1
2020-05-22 20:00:00+05:00,5259.880053358322,1
2020-05-22 20:30:00+05:00,5271.992048022587,1
2020-05-25 12:00:00+05:00,5313.067843220155,1
2020-05-25 12:30:00+05:00,5324.711058898208,1
2020-05-25 13:00:00+05:00,5328.864953008444,1
2020-05-25 13:30:00+05:00,5333.928457707574,1
2020-05-25 14:00:00+05:00,5345.535611936858,1
2020-05-25 14:30:00+05:00,5345.535611936858,1
2020-05-25 15:00:00+05:00,5345.535611936858,1
2020-05-25 15:30:00+05:00,5345.535611936858,1
2020-05-25 16:00:00+05:00,5345.535611936858,1
2020-05-25 16:30:00+05:00,5345.535611936858,1
2020-05-25 17:00:00+05:00,5345.535611936858,1
2020-05-25 17:30:00+05:00,5345.535611936858,1
2020-05-25 18:00:00+05:00,5345.535611936858,1
2020-05-25 18:30:00+05:00,5345.535611936858,1
2020-05-25 19:00:00+05:00,5345.535611936858,1
2020-05-25 19:30:00+05:00,5354.157861479606,1
2020-05-25 20:00:00+05:00,5365.992075331652,1
2020-05-25 20:30:00+05:00,5376.342867798486,1
2020-05-26 12:00:00+05:00,5425.908581018601,1
2020-05-26 12:30:00+05:00,5454.067722916723,1
2020-05-26 13:00:00+05:00,5474.535950625052,1
2020-05-26 13:30:00+05:00,5474.535950625052,1
2020-05-26 14:00:00+05:00,5474.535950625052,1
2020-05-26 14:30:00+05:00,5474.535950625052,1
2020-05-26 15:00:00+05:00,5474.535950625052,1
2020-05-26 15:30:00+05:00,5474.535950625052,1
2020-05-26 16:00:00+05:00,5474.535950625052,1
2020-05-26 16:30:00+05:00,5474.535950625052,1
2020-05-26 17:00:00+05:00,5474.535950625052,1
2020-05-26 17:30:00+05:00,5480.462707109493,1
2020-05-26 18:00:00+05:00,5487.2414363985445,1
2020-05-26 18:30:00+05:00,5487.2414363985445,1
2020-05-26 19:00:00+05:00,5487.2414363985445,1
2020-05-26 19:30:00+05:00,5487.2414363985445,1
2020-05-26 20:00:00+05:00,5516.760668578917,-1
2020-05-26 20:30:00+05:00,5505.759601721025,-1
2020-05-27 12:00:00+05:00,5488.558641548927,-1
2020-05-27 12:30:00+05:00,5488.558641548927,-1
2020-05-27 13:00:00+05:00,5488.558641548927,-1
2020-05-27 13:30:00+05:00,5425.977750310829,1
2020-05-27 14:00:00+05:00,5443.354975279747,1
2020-05-27 14:30:00+05:00,5444.244477751773,1
2020-05-27 15:00:00+05:00,5444.244477751773,1
2020-05-27 15:30:00+05:00,5444.244477751773,1
2020-05-27 16:00:00+05:00,5444.244477751773,1
2020-05-27 16:30:00+05:00,5490.389898147062,-1
2020-05-27 17:00:00+05:00,5464.550908332356,-1
2020-05-27 17:30:00+05:00,5464.550908332356,-1
2020-05-27 18:00:00+05:00,5462.186235749207,-1
2020-05-27 18:30:00+05:00,5443.867612174288,-1
2020-05-27 19:00:00+05:00,5419.130850956859,-1
2020-05-27 19:30:00+05:00,5375.392765861174,-1
2020-05-27 20:00:00+05:00,5375.392765861174,-1
2020-05-27 20:30:00+05:00,5375.392765861174,-1
2020-05-28 12:00:00+05:00,5375.392765861174,-1
2020-05-28 12:30:00+05:00,5285.535156318483,1
2020-05-28 13:00:00+05:00,5304.806640686636,1
2020-05-28 13:30:00+05:00,5308.125976617972,1
2020-05-28 14:00:00+05:00,5344.663378956175,1
2020-05-28 14:30:00+05:00,5369.2470410605565,1
2020-05-28 15:00:00+05:00,5369.2470410605565,1
2020-05-28 15:30:00+05:00,5369.2470410605565,1
2020-05-28 16:00:00+05:00,5369.2470410605565,1
2020-05-28 16:30:00+05:00,5375.581383639832,1
2020-05-28 17:00:00+05:00,5375.581383639832,1
2020-05-28 17:30:00+05:00,5375.581383639832,1
2020-05-28 18:00:00+05:00,5375.581383639832,1
2020-05-28 18:30:00+05:00,5375.581383639832,1
2020-05-28 19:00:00+05:00,5465.9720762745155,-1
2020-05-28 19:30:00+05:00,5446.724868647064,-1
2020-05-28 20:00:00+05:00,5443.927381782358,-1
2020-05-28 20:30:00+05:00,5443.927381782358,-1
2020-05-29 12:00:00+05:00,5419.77867924371,-1
2020-05-29 12:30:00+05:00,5388.275811319339,-1
2020-05-29 13:00:00+05:00,5359.373230187405,-1
2020-05-29 13:30:00+05:00,5355.660907168664,-1
2020-05-29 14:00:00+05:00,5351.019816451798,-1
2020-05-29 14:30:00+05:00,5351.019816451798,-1
2020-05-29 15:00:00+05:00,5351.019816451798,-1
2020-05-29 15:30:00+05:00,5325.403446193361,-1
2020-05-29 16:00:00+05:00,5325.403446193361,-1
2020-05-29 16:30:00+05:00,5325.403446193361,-1
2020-05-29 17:00:00+05:00,5325.403446193361,-1
2020-05-29 17:30:00+05:00,5324.555176047464,-1
2020-05-29 18:00:00+05:00,5307.524658442718,-1
2020-05-29 18:30:00+05:00,5297.447192598446,-1
2020-05-29 19:00:00+05:00,5294.502473338601,-1
2020-05-29 19:30:00+05:00,5294.502473338601,-1
2020-05-29 20:00:00+05:00,5294.502473338601,-1
2020-05-29 20:30:00+05:00,5294.502473338601,-1
2020-06-01 12:00:00+05:00,5295.748352242544,1
2020-06-01 12:30:00+05:00,5295.748352242544,1
2020-06-01 13:00:00+05:00,5295.748352242544,1
2020-06-01 13:30:00+05:00,5295.748352242544,1
2020-06-01 14:00:00+05:00,5295.748352242544,1
2020-06-01 14:30:00+05:00,5295.748352242544,1
2020-06-01 15:00:00+05:00,5295.748352242544,1
2020-06-01 15:30:00+05:00,5295.748352242544,1
2020-06-01 16:00:00+05:00,5295.748352242544,1
2020-06-01 16:30:00+05:00,5295.748352242544,1
2020-06-01 17:00:00+05:00,5295.748352242544,1
2020-06-01 17:30:00+05:00,5295.748352242544,1
2020-06-01 18:00:00+05:00,5295.748352242544,1
2020-06-01 18:30:00+05:00,5295.748352242544,1
2020-06-01 19:00:00+05:00,5295.748352242544,1
2020-06-01 19:30:00+05:00,5295.748352242544,1
2020-06-01 20:00:00+05:00,5295.748352242544,1
2020-06-01 20:30:00+05:00,5295.748352242544,1
2020-06-02 12:00:00+05:00,5306.101250444172,1
2020-06-02 12:30:00+05:00,5318.616125399755,1
2020-06-02 13:00:00+05:00,5335.92951285978,1
2020-06-02 13:30:00+05:00,5345.711561573802,1
2020-06-02 14:00:00+05:00,5354.715405416421,1
2020-06-02 14:30:00+05:00,5370.7938648747795,1
2020-06-02 15:00:00+05:00,5370.7938648747795,1
2020-06-02 15:30:00+05:00,5370.7938648747795,1
2020-06-02 16:00:00+05:00,5370.7938648747795,1
2020-06-02 16:30:00+05:00,5370.7938648747795,1
2020-06-02 17:00:00+05:00,5370.7938648747795,1
2020-06-02 17:30:00+05:00,5370.7938648747795,1
2020-06-02 18:00:00+05:00,5370.7938648747795,1
2020-06-02 18:30:00+05:00,5370.7938648747795,1
2020-06-02 19:00:00+05:00,5361.094232227987,1
2020-06-02 19:30:00+05:00,5361.094232227987,1
2020-06-02 20:00:00+05:00,5361.094232227987,1
2020-06-02 20:30:00+05:00,5361.094232227987,1
2020-06-03 12:00:00+05:00,5395.423650764782,1
2020-06-03 12:30:00+05:00,5395.423650764782,1
2020-06-03 13:00:00+05:00,5395.423650764782,1
2020-06-03 13:30:00+05:00,5395.423650764782,1
2020-06-03 14:00:00+05:00,5408.791832266774,1
2020-06-03 14:30:00+05:00,5413.112649040097,1
2020-06-03 15:00:00+05:00,5413.112649040097,1
2020-06-03 15:30:00+05:00,5413.112649040097,1
2020-06-03 16:00:00+05:00,5413.112649040097,1
2020-06-03 16:30:00+05:00,5413.112649040097,1
2020-06-03 17:00:00+05:00,5413.112649040097,1
2020-06-03 17:30:00+05:00,5428.7050078185175,1
2020-06-03 18:00:00+05:00,5448.684507036666,1
