Value Classic,Value Signal,Time
,,2020-05-05 12:00:00+05:00
,,2020-05-05 12:30:00+05:00
,,2020-05-05 13:00:00+05:00
,,2020-05-05 13:30:00+05:00
,,2020-05-05 14:00:00+05:00
,,2020-05-05 14:30:00+05:00
,,2020-05-05 15:00:00+05:00
,,2020-05-05 15:30:00+05:00
,,2020-05-05 16:00:00+05:00
,,2020-05-05 16:30:00+05:00
,,2020-05-05 17:00:00+05:00
,,2020-05-05 17:30:00+05:00
,,2020-05-05 18:00:00+05:00
,,2020-05-05 18:30:00+05:00
,,2020-05-05 19:00:00+05:00
,,2020-05-05 19:30:00+05:00
,,2020-05-05 20:00:00+05:00
,,2020-05-05 20:30:00+05:00
,,2020-05-06 12:00:00+05:00
,,2020-05-06 12:30:00+05:00
,,2020-05-06 13:00:00+05:00
,,2020-05-06 13:30:00+05:00
,,2020-05-06 14:00:00+05:00
,,2020-05-06 14:30:00+05:00
,,2020-05-06 15:00:00+05:00
14.101571256494935,,2020-05-06 15:30:00+05:00
11.225575213224147,,2020-05-06 16:00:00+05:00
4.895657228175878,,2020-05-06 16:30:00+05:00
0.35916128857115837,,2020-05-06 17:00:00+05:00
-6.031075259992576,,2020-05-06 17:30:00+05:00
-9.692587367727356,,2020-05-06 18:00:00+05:00
-15.123201271305334,,2020-05-06 18:30:00+05:00
-18.886523261045113,,2020-05-06 19:00:00+05:00
-19.14682939818067,-7.156668748704583,2020-05-06 19:30:00+05:00
-20.528586862908924,-9.831052371545452,2020-05-06 20:00:00+05:00
-22.254709242818535,-12.315783745800069,2020-05-06 20:30:00+05:00
-21.55859761177726,-14.164346518995508,2020-05-07 12:00:00+05:00
-20.169238383903576,-15.365324891977124,2020-05-07 12:30:00+05:00
-18.731202084185497,-16.0385003304188,2020-05-07 13:00:00+05:00
-16.63323971735008,-16.157448207805054,2020-05-07 13:30:00+05:00
-13.76294738188244,-15.678548042620532,2020-05-07 14:00:00+05:00
-9.243340026380793,-14.391506439372584,2020-05-07 14:30:00+05:00
-7.03289734014561,-12.91978461952719,2020-05-07 15:00:00+05:00
-4.622631448193715,-11.260353985260496,2020-05-07 15:30:00+05:00
-1.7641880120690985,-9.361120790622216,2020-05-07 16:00:00+05:00
0.6150960249178752,-7.3658774275141985,2020-05-07 16:30:00+05:00
1.4351607715607315,-5.605669787699213,2020-05-07 17:00:00+05:00
-0.6908302192068732,-4.622701874000746,2020-05-07 17:30:00+05:00
-3.425543044232654,-4.383270108047127,2020-05-07 18:00:00+05:00
-7.244186504932259,-4.9554533874241535,2020-05-07 18:30:00+05:00
-11.748887945594106,-6.314140299058144,2020-05-07 19:00:00+05:00
-14.825233656135424,-8.0163589704736,2020-05-07 19:30:00+05:00
-15.750288174010166,-9.563144811180914,2020-05-07 20:00:00+05:00
-17.851111079194197,-11.220738064783571,2020-05-07 20:30:00+05:00
-18.376244568108632,-12.651839365448584,2020-05-08 12:00:00+05:00
-23.883101352093945,-14.898091762777657,2020-05-08 12:30:00+05:00
-28.443936708753427,-17.607260751972813,2020-05-08 13:00:00+05:00
-32.29138393452649,-20.54408538848355,2020-05-08 13:30:00+05:00
-35.01754476458245,-23.43877726370333,2020-05-08 14:45:00+05:00
-36.03641669964509,-25.958305150891682,2020-05-08 15:15:00+05:00
-38.61773896558134,-28.490191913829616,2020-05-08 15:45:00+05:00
-40.23994029683581,-30.840141590430854,2020-05-08 16:15:00+05:00
-40.41414429942142,-32.75494213222897,2020-05-08 16:45:00+05:00
-39.53166430943111,-34.1102865676694,2020-05-08 17:15:00+05:00
-37.27295019408848,-34.742819292953214,2020-05-08 17:45:00+05:00
-34.799337138545525,-34.754122862071675,2020-05-08 18:15:00+05:00
-29.592952697438704,-33.72188882914509,2020-05-08 18:45:00+05:00
-27.170936936487124,-32.4116984506135,2020-05-08 19:15:00+05:00
-23.168834138745297,-30.56312558823986,2020-05-08 19:45:00+05:00
-17.894607341211668,-28.029421938834226,2020-05-08 20:15:00+05:00
-8.692354353500377,-24.16200842176746,2020-05-12 12:00:00+05:00
-2.819451250838938,-19.893496987581756,2020-05-12 12:30:00+05:00
1.494868288293219,-15.61582393240676,2020-05-12 13:00:00+05:00
5.057427832761277,-11.481173579373152,2020-05-12 13:30:00+05:00
8.149946816800366,-7.554949500138449,2020-05-12 14:00:00+05:00
10.121009304958534,-4.019757739119052,2020-05-12 14:30:00+05:00
