,SuperTrend,Цвет
0,0.0,1
1,,1
2,,1
3,,1
4,,1
5,,1
6,,1
7,,1
8,,1
9,,1
10,4912.285124228466,1
11,4928.9382245070265,1
12,4928.9382245070265,1
13,4928.9382245070265,1
14,4928.9382245070265,1
15,4931.118917042546,1
16,4931.118917042546,1
17,4944.075735417973,1
18,4958.125209063817,1
19,4995.718878086078,-1
20,4995.718878086078,-1
21,4995.718878086078,-1
22,4995.718878086078,-1
23,4995.718878086078,-1
24,4995.718878086078,-1
25,4995.718878086078,-1
26,4995.718878086078,-1
27,4975.255235044886,-1
28,4933.661478637524,-1
29,4926.30365740274,-1
30,4926.30365740274,-1
31,4918.353714367158,-1
32,4888.679530423658,-1
33,4888.679530423658,-1
34,4888.679530423658,-1
35,4888.679530423658,-1
36,4888.679530423658,-1
37,4832.093219499084,1
38,4832.093219499084,1
39,4847.314135950038,1
40,4849.928759237248,1
41,4871.116709272914,1
42,4882.639288056843,1
43,4882.639288056843,1
44,4892.189449597326,1
45,4904.366689499026,1
46,4904.366689499026,1
47,4904.366689499026,1
48,4919.351591608278,-1
49,4918.707014915689,-1
50,4894.36729323777,-1
51,4886.2731697352265,-1
52,4886.2731697352265,-1
53,4886.2731697352265,-1
54,4886.2731697352265,-1
55,4867.905753853413,-1
56,4829.687526563771,-1
57,4813.168109785685,-1
58,4813.168109785685,-1
59,4813.168109785685,-1
60,4813.168109785685,-1
61,4791.910738271783,-1
62,4791.910738271783,-1
63,4791.910738271783,-1
64,4791.910738271783,-1
65,4791.910738271783,-1
66,4753.027683123539,1
67,4770.775127490721,1
68,4770.775127490721,1
69,4785.701520369875,1
70,4797.158377681528,1
71,4827.810999909972,1
72,4846.855810837186,1
73,4846.855810837186,1
74,4846.855810837186,1
75,4846.855810837186,1
76,4846.855810837186,1
77,4846.855810837186,1
78,4859.401277506087,1
79,4866.961528505543,1
80,4866.961528505543,1
81,4866.961528505543,1
82,4866.961528505543,1
83,4866.961528505543,1
84,4866.988041808564,1
85,4866.988041808564,1
86,4870.07314303807,1
87,4878.490741751928,1
88,4885.316674717935,1
89,4899.265698018367,-1
90,4870.5643223639745,-1
91,4870.5643223639745,-1
92,4870.5643223639745,-1
93,4870.5643223639745,-1
94,4870.5643223639745,-1
95,4870.5643223639745,-1
96,4870.5643223639745,-1
97,4870.5643223639745,-1
98,4870.5643223639745,-1
99,4851.54563699448,1
100,4851.54563699448,1
101,4851.54563699448,1
102,4851.54563699448,1
103,4851.54563699448,1
104,4851.54563699448,1
105,4877.3092827099845,-1
106,4867.603326829072,-1
107,4838.5930384802805,-1
108,4838.5930384802805,-1
109,4838.5930384802805,-1
110,4799.52066210882,1
111,4799.52066210882,1
112,4808.39427099318,1
113,4808.39427099318,1
114,4808.39427099318,1
115,4808.39427099318,1
116,4808.39427099318,1
117,4808.39427099318,1
118,4849.495623070024,-1
119,4849.495623070024,-1
120,4849.495623070024,-1
121,4838.407074218883,-1
122,4787.608628012698,1
123,4813.272765597829,1
124,4814.020492211292,1
125,4890.093421677305,1
126,4890.093421677305,1
127,4890.093421677305,1
128,4891.724860840847,1
129,4912.227375385447,1
130,4912.227375385447,1
131,4912.227375385447,1
132,4912.227375385447,1
133,4912.227375385447,1
134,4947.083507905824,-1
135,4947.083507905824,-1
136,4947.083507905824,-1
137,4947.083507905824,-1
138,4947.083507905824,-1
139,4947.083507905824,-1
140,4947.083507905824,-1
141,4937.830550764755,-1
142,4937.830550764755,-1
143,4911.192251883633,1
144,4920.298027237686,1
145,4978.968222466931,1
146,4990.746400643406,1
147,4990.746400643406,1
148,5007.532085245447,1
149,5027.028877024618,1
150,5033.12598981457,1
151,5052.463391028685,1
152,5052.463391028685,1
153,5058.857847022084,1
154,5088.422062078653,1
155,5102.979855875459,1
156,5102.979855875459,1
157,5102.979855875459,1
158,5103.002314801946,1
159,5116.927083304504,1
160,5133.084374981561,1
161,5170.5509370094305,1
162,5191.4208433711165,1
163,5191.4208433711165,1
164,5191.4208433711165,1
165,5205.922544831685,1
166,5205.922544831685,1
167,5205.922544831685,1
168,5205.922544831685,1
169,5205.922544831685,1
170,5213.787771128561,1
171,5213.787771128561,1
172,5213.787771128561,1
173,5221.360035193028,1
174,5221.360035193028,1
175,5227.749128497892,1
176,5227.749128497892,1
177,5229.661794086578,1
178,5230.520614689446,1
179,5230.520614689446,1
180,5230.520614689446,1
181,5258.006778051084,1
182,5322.031100227288,1
183,5338.652990197672,1
184,5371.837691178608,1
185,5371.837691178608,1
186,5371.837691178608,1
187,5371.837691178608,1
188,5381.066309192223,1
189,5381.534678276864,1
190,5401.981210454128,1
191,5407.483089413271,1
192,5407.483089413271,1
193,5408.72630243064,1
194,5408.72630243064,1
195,5408.72630243064,1
196,5408.72630243064,1
197,5422.574752014434,1
198,5469.992276810959,1
199,5529.481950875015,-1
200,5529.481950875015,-1
201,5529.481950875015,-1
202,5528.2538421836125,-1
203,5512.503457964737,-1
204,5453.128112172602,-1
205,5444.815300954796,-1
206,5444.815300954796,-1
207,5425.350393773143,-1
208,5425.350393773143,-1
209,5423.596318955493,-1
210,5423.596318955493,-1
211,5423.596318955493,-1
212,5397.367716519257,-1
213,5341.380944868006,-1
214,5341.380944868006,-1
215,5291.353565345441,-1
216,5291.353565345441,-1
217,5291.353565345441,-1
218,5291.353565345441,-1
219,5291.353565345441,-1
220,5243.146490699921,1
221,5243.146490699921,1
222,5243.146490699921,1
223,5243.146490699921,1
224,5243.146490699921,1
225,5264.074551293861,1
226,5264.074551293861,1
227,5264.074551293861,1
228,5264.074551293861,1
229,5264.074551293861,1
230,5264.074551293861,1
231,5264.074551293861,1
232,5273.1762848530625,1
233,5315.633656367635,1
234,5324.995290730903,1
235,5333.370761657877,1
236,5333.370761657877,1
237,5351.670316942935,1
238,5351.670316942935,1
239,5351.670316942935,1
240,5351.670316942935,1
241,5351.670316942935,1
242,5351.670316942935,1
243,5351.670316942935,1
244,5351.670316942935,1
245,5351.670316942935,1
246,5351.670316942935,1
247,5351.670316942935,1
248,5357.477414431729,1
249,5371.85467298856,1
250,5380.719205689702,1
251,5429.847285120697,1
252,5454.462556608614,1
253,5481.866300947754,1
254,5481.866300947754,1
255,5481.866300947754,1
256,5481.866300947754,1
257,5481.866300947754,1
258,5481.866300947754,1
259,5481.866300947754,1
260,5481.866300947754,1
261,5481.866300947754,1
262,5483.259649440804,1
263,5494.708684496725,1
264,5494.708684496725,1
265,5494.708684496725,1
266,5494.708684496725,1
267,5526.968182101698,-1
268,5500.24636389153,-1
269,5486.796727502379,-1
270,5474.192054752142,-1
271,5474.192054752142,-1
272,5432.396935650764,1
273,5450.807242085688,1
274,5458.676517877119,1
275,5458.676517877119,1
276,5458.676517877119,1
277,5506.75906846758,-1
278,5486.808161620821,-1
279,5450.377345458739,-1
280,5450.377345458739,-1
281,5448.780649821579,-1
282,5448.780649821579,-1
283,5413.317326355479,-1
284,5372.085593719932,-1
285,5366.277034347939,-1
286,5366.277034347939,-1
287,5366.277034347939,-1
288,5366.277034347939,-1
289,5320.613962764317,1
290,5320.613962764317,1
291,5323.494809839097,1
292,5388.045328855187,1
293,5388.045328855187,1
294,5388.045328855187,1
295,5388.045328855187,1
296,5388.045328855187,1
297,5388.045328855187,1
298,5388.045328855187,1
299,5388.045328855187,1
300,5433.874751761675,-1
301,5433.874751761675,-1
302,5433.874751761675,-1
303,5433.874751761675,-1
304,5433.874751761675,-1
305,5417.406494667752,-1
306,5388.415845200976,-1
307,5357.799260680878,-1
308,5354.844334612791,-1
309,5344.859901151512,-1
